id,parada,ubicacion
1,Calle 26a con Carrera 5 Sur,"Ibagué, Tolima"
2,Galarza,"Carrera 5 Sur con Calle 24a, Ibagué, Tolima"
3,Calle 23 con Carrera 4 Sur,"Ibagué, Tolima"
4,Yuldaima,"Carrera 5 Sur con Calle 21, Ibagué, Tolima"
5,Iglesia Yuldaima,"Carrera 5 Sur con Calle 18a, Ibagué, Tolima"
6,Yuldaima,"Carrera 5 Sur con Calle 16a, Ibagué, Tolima"
7,Barrio Avenida,"Carrera 5 Sur con Calle 15a, Ibagué, Tolima"
8,Comfenalco,"Ibagué, Tolima"
9,Carrera 6,"Ibagué, Tolima"
10,Calle 44 Tobogán,"Ibagué, Tolima"
11,Carrera 10,"Ibagué, Tolima"
12,Calle 40,"Ibagué, Tolima"
13,Carrera 9,"Ibagué, Tolima"
14,Gaitán,"Ibagué, Tolima"
15,Calle 37,"Ibagué, Tolima"
16,Carrera 11,"Ibagué, Tolima"
17,Calle 40,"Ibagué, Tolima"
18,Carrera 10,"Ibagué, Tolima"
19,Calle 44 Tobogán,"Ibagué, Tolima"
20,Carrera 6,"Ibagué, Tolima"
21,Comfenalco,"Ibagué, Tolima"
22,Avenida 37,"Ibagué, Tolima"
23,Estadio,"Ibagué, Tolima"
24,Carrera 4,"Ibagué, Tolima"
25,Calle 33,"Ibagué, Tolima"
26,Hospital Federico Lleras,"Ibagué, Tolima"
27,Carrera 4 Tamaná,"Ibagué, Tolima"
28,Avenida Ferrocarril,"Ibagué, Tolima"
29,Comando de la Policía,"Ibagué, Tolima"
30,Calle 20,"Ibagué, Tolima"
31,Ciudadela Villa Comfenalco,"Ibagué, Tolima"
32,Bello Horizonte,"Ibagué, Tolima"
33,Villa Marina,"Ibagué, Tolima"
34,Vía Ibagué,"Ibagué, Tolima"
35,Avenida Mirolindo,"Ibagué, Tolima"
36,Villa Café,"Ibagué, Tolima"
37,SENA,"Ibagué, Tolima"
38,Avenida Santa Helena,"Ibagué, Tolima"
39,Universidad del Tolima,"Ibagué, Tolima"
40,Calle 42,"Ibagué, Tolima"
41,Carrera 5,"Ibagué, Tolima"
42,Calle 10,"Ibagué, Tolima"
43,Carrera Avenida 15,"Ibagué, Tolima"
44,Carrera 2,"Ibagué, Tolima"
45,Terminal de Transporte,"Ibagué, Tolima"
46,Autopista Sur,"Ibagué, Tolima"
47,Yuldaima,"Ibagué, Tolima"
48,Galarza,"Ibagué, Tolima"
49,Divino Niño,"Ibagué, Tolima"
50,La Pradera,"Ibagué, Tolima"
